,0,1,2,3
,0,0,0,0
market.pubkey,8UJgxaiQx5nTrdDgph5FiahMmzduuLTLf5WmsPegYA6W,2UZMvVTBQR9yWxrEdzEQzXWE61bUjqQ5VpJAGqVb3B19,25Eax9W8SA3wpCQFhJEGyHhQ2NDHEshZEDzyMNtthR8D,7QAtMC3AaAc91W4XuwYXM1Mtffq9h9Z8dTxcJrKRHu1z
market.name,"ListContainer: 
    83
    79
    76
    45
    80
    69
    82
    80
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32","ListContainer: 
    66
    84
    67
    45
    80
    69
    82
    80
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32","ListContainer: 
    69
    84
    72
    45
    80
    69
    82
    80
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32","ListContainer: 
    65
    80
    84
    45
    80
    69
    82
    80
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32
    32"
market.unrealized_pnl_max_imbalance,250.0,150.0,150.0,0.0
market.expiry_ts,0,0,0,0
market.expiry_price,0.0,0.0,0.0,0.0
market.next_fill_record_id,287810,198881,190044,26362
market.next_funding_rate_record_id,2682,1875,1875,391
market.next_curve_record_id,405,446,488,125
market.imf_factor,0.0003,1e-06,1e-06,0.0001
market.unrealized_pnl_imf_factor,0.0,1e-06,1e-06,0.0
market.liquidator_fee,0.01,0.01,0.01,0.01
market.if_liquidation_fee,0.01,0.01,0.01,0.01
market.margin_ratio_initial,0.1,0.1,0.1,0.2
market.margin_ratio_maintenance,0.05,0.05,0.05,0.1
market.unrealized_pnl_initial_asset_weight,0.0,0.0,0.0,1.0
market.unrealized_pnl_maintenance_asset_weight,1.0,0.0001,0.0001,1.0
market.number_of_users_with_base,279,76,59,27
market.number_of_users,282,79,60,30
market.market_index,0,1,2,3
market.status,MarketStatus.Active(),MarketStatus.Active(),MarketStatus.Active(),MarketStatus.Active()
market.contract_type,ContractType.Perpetual(),ContractType.Perpetual(),ContractType.Perpetual(),ContractType.Perpetual()
market.contract_tier,ContractTier.B(),ContractTier.B(),ContractTier.B(),ContractTier.Speculative()
market.padding,"ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0","ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0","ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0","ListContainer: 
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0
    0"
market.amm.oracle,H6ARHf6YXhGYeQfUzQNGk6rDNnLBQKrenN712K4AQJEG,GVXRSBjFk6e6J3NbVPXohDJetcTjaeeuykUpbQF8UoMU,JBu1AL4obBcCMqKBBxhpWCNUt136ijcuMZLFvTP7iWdB,FNNvb1AFDnDVPkocEri8mWbJ1952HQZtFLuwPiUjSJQ
market.amm.base_asset_amount_per_lp,-141249737,-378677794,-54269490,0
market.amm.quote_asset_amount_per_lp,3062092,6570212738,88656307,0
market.amm.base_asset_reserve,1387276.720028612,802.022271123,5273.743101061,138211.499882839
market.amm.quote_asset_reserve,1475673.732070683,1969.433903293,5512.820560436,138177.495882876
market.amm.concentration_coef,1.008284,1.002071,1.002071,1.02071
market.amm.min_base_asset_reserve,1375997.663456772,800.507033706,5262.842938834,135390.659328152
market.amm.max_base_asset_reserve,1398889.620111235,803.826167247,5284.664206836,141056.610046412
market.amm.sqrt_k,1430792.722535098,1256.793480229,5391.956917297,138194.496836984
market.amm.peg_multiplier,21.422436,9542.428573,1570.216521,12.467335
market.amm.terminal_quote_asset_reserve,1475546.407209426,1969.083768061,5512.82141186,138194.393791205
market.amm.base_asset_amount_long,41975.9,12.2765,17.4,2158.7
market.amm.base_asset_amount_short,-41818.3,-12.1338,-17.401,-2175.6
market.amm.base_asset_amount_with_amm,119.708072236,0.14261265,-0.0008145,-16.9
market.amm.base_asset_amount_with_unsettled_lp,37.891927764,8.735e-05,-0.0001855,0.0
market.amm.max_open_interest,150000.0,100.0,1000.0,50000.0
market.amm.quote_asset_amount,198030.852593,6426.099872,1775.619371,2856.455051
market.amm.quote_entry_amount_long,-854251.673301,-295634.385533,-28041.03329,-28105.753147
market.amm.quote_entry_amount_short,980136.9016,278307.516643,27086.695536,27863.20379
market.amm.quote_break_even_amount_long,-870258.726014,-296346.866582,-28090.912311,-28146.422711
market.amm.quote_break_even_amount_short,987054.663763,278389.817263,27170.513473,27803.177169
market.amm.user_lp_shares,510511.8,450.0,1500.0,0.0
market.amm.last_funding_rate,0.000683291,0.53914775,-0.008697375,-0.000534375
market.amm.last_funding_rate_long,0.000683291,0.53914775,-0.008697375,-0.000534375
market.amm.last_funding_rate_short,0.000683291,0.53914775,-0.008697375,-0.000534375
market.amm.last24h_avg_funding_rate,0.000521631,0.412531731,0.000326335,-0.000113751
market.amm.total_fee,96337.821534,15215.57674,10262.417348,868.748791
