,0
authority,2Fast1RAxFtcXipCucpJhFQACiksuySKa8E9S9ckwVYY
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,55557302767
taker_volume30d,22843424397
filler_volume30d,0
last_maker_volume30d_ts,1680277312
last_taker_volume30d_ts,1680249130
last_filler_volume30d_ts,1671723621
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,32921078
userfees.total_fee_rebate,11085820
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
