,0
authority,2PVJCmKTas6SrkfcfrwMVTnXLPEsnrZKP6ULg4aSTxMn
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1630000
taker_volume30d,13184884659
filler_volume30d,0
last_maker_volume30d_ts,1673570643
last_taker_volume30d_ts,1673661754
last_filler_volume30d_ts,1673265563
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,14460694
userfees.total_fee_rebate,326
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
