,0
authority,2U1DcLokdCRJVqHihUXBJ1utke5bZg7SBYHar9vKf8VB
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,28666235629
taker_volume30d,73676142760
filler_volume30d,0
last_maker_volume30d_ts,1672797905
last_taker_volume30d_ts,1672797928
last_filler_volume30d_ts,1672797237
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,73689327
userfees.total_fee_rebate,5734122
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
