,0
authority,2VbxWTX2H3Kqaa2WTnB417cquGn2fNwKxFfoYMB8DXC4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,83600000
taker_volume30d,2128974750
filler_volume30d,0
last_maker_volume30d_ts,1679153364
last_taker_volume30d_ts,1680528336
last_filler_volume30d_ts,1668298574
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,10264238
userfees.total_fee_rebate,16720
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
