,0
authority,2XMe5RkPvggDySu6XyvdQynz1ctYFyPziY2aEZF6KtYD
referrer,11111111111111111111111111111111
next_epoch_ts,1681344000
maker_volume30d,2983038333
taker_volume30d,16462511183
filler_volume30d,0
last_maker_volume30d_ts,1680921471
last_taker_volume30d_ts,1681230445
last_filler_volume30d_ts,1679551142
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,True
userfees.total_fee_paid,24334662
userfees.total_fee_rebate,385031
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,7994843
userfees.current_epoch_referrer_reward,7972639
