,0
authority,2a42gtmmGJRUCeTFxPNtxG5zWvRxuz3jXPrGjbENdWmU
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,6175509972
taker_volume30d,9506530982
filler_volume30d,0
last_maker_volume30d_ts,1681175122
last_taker_volume30d_ts,1681302704
last_filler_volume30d_ts,1673606127
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,9558383
userfees.total_fee_rebate,422550
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
