,0
authority,2aWj2T1p42zquWHDBkePWVLeUrs9Prhckf47SfN4V6g7
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,4335959236
taker_volume30d,15867245977
filler_volume30d,0
last_maker_volume30d_ts,1680656249
last_taker_volume30d_ts,1680690396
last_filler_volume30d_ts,1674298087
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,26875419
userfees.total_fee_rebate,1187244
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
