,0
authority,2faCYGTr416VJcL5oaqGXXKRDVipY4VmZJPb5DQq7tEz
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,982486885
taker_volume30d,10784957334
filler_volume30d,0
last_maker_volume30d_ts,1680079056
last_taker_volume30d_ts,1680167519
last_filler_volume30d_ts,1674352695
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,29178982
userfees.total_fee_rebate,1042093
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
