,0
authority,398v8A72s5q9oJJzVbZWSbGu5kkcvq6Pc79FcTa7K3xK
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,708696000
taker_volume30d,293012182062
filler_volume30d,0
last_maker_volume30d_ts,1679309480
last_taker_volume30d_ts,1679309479
last_filler_volume30d_ts,1678590056
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,317799238
userfees.total_fee_rebate,141739
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
