,0
authority,3H1wvZqJgy2v5XxaMLFVtRnMeN6H1t7JrenehfQcn4qk
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,723122536
taker_volume30d,3579035176
filler_volume30d,0
last_maker_volume30d_ts,1674736349
last_taker_volume30d_ts,1674735724
last_filler_volume30d_ts,1673611822
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,5090902
userfees.total_fee_rebate,161089
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
