,0
authority,3NMmwkY45ksxTJZCYL9RGibx3rzDjGn5EgDmFJqUn2dp
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,7468306001
taker_volume30d,50482281355
filler_volume30d,0
last_maker_volume30d_ts,1673667084
last_taker_volume30d_ts,1673687521
last_filler_volume30d_ts,1672997518
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,59248413
userfees.total_fee_rebate,1669152
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
