,0
authority,3NksqALK4Z9ZK58mCyGz2PqfqSEJNcqFXEL1jxN7uoM1
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,638134653
taker_volume30d,894501327
filler_volume30d,0
last_maker_volume30d_ts,1681308165
last_taker_volume30d_ts,1679825427
last_filler_volume30d_ts,1671919059
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,944467
userfees.total_fee_rebate,213436
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
