,0
authority,3bZTWdcFtjKBMNqqzgw3T2FqUhSLah89CHN8iYQ6oBqK
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,3861494
taker_volume30d,3912383
filler_volume30d,0
last_maker_volume30d_ts,1681045864
last_taker_volume30d_ts,1681078215
last_filler_volume30d_ts,1681045256
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,3913
userfees.total_fee_rebate,368
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
