,0
authority,3gjxJ265E51rUFcXYm4gUyj1He5hKd2AunYCofwZmb74
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,5787476297
taker_volume30d,24474345258
filler_volume30d,0
last_maker_volume30d_ts,1674078425
last_taker_volume30d_ts,1674073950
last_filler_volume30d_ts,1672689836
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,25515863
userfees.total_fee_rebate,1157517
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
