,0
authority,41SyCumnUuAsmbxShN2AjKccHHFXR4EEHDEiCRJ32CCo
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,8631295021
taker_volume30d,105091692914
filler_volume30d,0
last_maker_volume30d_ts,1680633005
last_taker_volume30d_ts,1680658299
last_filler_volume30d_ts,1678380911
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,149145938
userfees.total_fee_rebate,3339585
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
