,0
authority,4Fub9KmrseUYBt5RWWdW7vrx6oMDxVuGe1SRae6p1Yz9
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,6849636
taker_volume30d,1847477669
filler_volume30d,0
last_maker_volume30d_ts,1670413903
last_taker_volume30d_ts,1671093412
last_filler_volume30d_ts,1670337543
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,2002136
userfees.total_fee_rebate,1370
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
