,0
authority,4PiuNrHpdyHKvnuXsCcH4UbpDhp8eXygah8zZ5DkMAMT
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,4007999730
taker_volume30d,55187827729
filler_volume30d,0
last_maker_volume30d_ts,1674225599
last_taker_volume30d_ts,1674225596
last_filler_volume30d_ts,1670514321
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,124291995
userfees.total_fee_rebate,1605657
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
