,0
authority,4VMFyPW2MgRmKm4xpufY5zWZ9nbbP8fUn7jR3LxygqKQ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1431599981
taker_volume30d,9162176979
filler_volume30d,0
last_maker_volume30d_ts,1673550450
last_taker_volume30d_ts,1673546801
last_filler_volume30d_ts,1673230894
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,9950479
userfees.total_fee_rebate,287260
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
