,0
authority,4qpPSQz27R6C8VsQnFyTy9vdZnvVrE7NXYSh32VjHLPk
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1348834088
taker_volume30d,700637938
filler_volume30d,0
last_maker_volume30d_ts,1673674860
last_taker_volume30d_ts,1673661871
last_filler_volume30d_ts,1673627265
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,707609
userfees.total_fee_rebate,271792
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
