,0
authority,4vwsfd5gM5qqkd66aXGVLWwVL6vUsuhRnKxtrHnV9Q76
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1567464905
taker_volume30d,27043910417
filler_volume30d,0
last_maker_volume30d_ts,1672004416
last_taker_volume30d_ts,1672004420
last_filler_volume30d_ts,1669665405
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,43388566
userfees.total_fee_rebate,325933
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
