,0
authority,56562GjZ9gmyjY6U5TX7YAHN8J9R8dhwJpVx1Ub4z3E6
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,19631335478
filler_volume30d,0
last_maker_volume30d_ts,1672214793
last_taker_volume30d_ts,1680043872
last_filler_volume30d_ts,1672214793
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,81397659
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
