,0
authority,5GHMPskpm21G3efYZRoHrCgYZKNTSkMMBVY3vne7PUQm
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,7815775772
taker_volume30d,16890013675
filler_volume30d,0
last_maker_volume30d_ts,1675661485
last_taker_volume30d_ts,1675661492
last_filler_volume30d_ts,1674488643
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,22120796
userfees.total_fee_rebate,2037490
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
