,0
authority,5gP2dyysCsdtb9ba5hxTWfGDC8Q8iqEHmXDJCcRNRNeP
referrer,2XMe5RkPvggDySu6XyvdQynz1ctYFyPziY2aEZF6KtYD
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,60196346665
filler_volume30d,0
last_maker_volume30d_ts,1680145086
last_taker_volume30d_ts,1680158654
last_filler_volume30d_ts,1680145086
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,57850987
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,2646181
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
