,0
authority,5xDmko91dkr4kcEs3mYHS7Es37SftS6LVV5FWcYm2K47
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,8936399
filler_volume30d,0
last_maker_volume30d_ts,1677645218
last_taker_volume30d_ts,1677645493
last_filler_volume30d_ts,1677645218
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,4469
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
