,0
authority,62ozBt5b4M2icEWaiKNBuaUmP2SrHdqfRuukAzKvenZz
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,8173074028
taker_volume30d,421935632818
filler_volume30d,0
last_maker_volume30d_ts,1675169774
last_taker_volume30d_ts,1675205886
last_filler_volume30d_ts,1673717633
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,560922747
userfees.total_fee_rebate,2289590
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
