,0
authority,64nf6XvL2L7Tx4vZJkAsATE66fiDvgueHryriiesW3JF
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2793586153
taker_volume30d,51578284611
filler_volume30d,0
last_maker_volume30d_ts,1678675315
last_taker_volume30d_ts,1678821355
last_filler_volume30d_ts,1673449028
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,170017025
userfees.total_fee_rebate,2123541
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
