,0
authority,675xJbEfHTGVAQUvqFgNvjswvv41rfDC3uMCPvSffkQC
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1174811820
taker_volume30d,5959043897
filler_volume30d,0
last_maker_volume30d_ts,1679658529
last_taker_volume30d_ts,1679929831
last_filler_volume30d_ts,1678221337
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,8202061
userfees.total_fee_rebate,235138
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
