,0
authority,6KZsPUQUWuS6feCreAHjNXCmDJi4Hm85cwMZHUcmhSFH
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,636977179
taker_volume30d,11428212100
filler_volume30d,0
last_maker_volume30d_ts,1674162413
last_taker_volume30d_ts,1674179884
last_filler_volume30d_ts,1674057769
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,11713080
userfees.total_fee_rebate,127444
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
