,0
authority,6qNNDaztM8Yjfr5MFA36AhiiymCuaCbZu6pVMtudKgxB
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2811581862
taker_volume30d,5627655948
filler_volume30d,0
last_maker_volume30d_ts,1673456431
last_taker_volume30d_ts,1673477810
last_filler_volume30d_ts,1671467596
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,6991867
userfees.total_fee_rebate,586203
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
