,0
authority,74SnN1i881uhtu4g3UYvNiiu2kb5sqsV9Fdz2qa9h7FM
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,399227920
taker_volume30d,389573280
filler_volume30d,0
last_maker_volume30d_ts,1673403758
last_taker_volume30d_ts,1673449055
last_filler_volume30d_ts,1672960908
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,389574
userfees.total_fee_rebate,79845
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
