,0
authority,7HZ43kuSaWzRzNGiG6CE3ixuPRpJU25xrKkNUmXzd4yE
referrer,11111111111111111111111111111111
next_epoch_ts,1681344000
maker_volume30d,0
taker_volume30d,83947469
filler_volume30d,0
last_maker_volume30d_ts,1679581073
last_taker_volume30d_ts,1680099813
last_filler_volume30d_ts,1679581073
if_staked_quote_asset_amount,15162182603
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,True
userfees.total_fee_paid,96408
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,3696
userfees.current_epoch_referrer_reward,0
