,0
authority,7QLHTZVRKF3HzEDsjCFC3JVq3hMZ6TcduSuNPecwmixd
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,10923544
taker_volume30d,34733074
filler_volume30d,0
last_maker_volume30d_ts,1677033197
last_taker_volume30d_ts,1677049171
last_filler_volume30d_ts,1675845489
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,39613
userfees.total_fee_rebate,2388
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
