,0
authority,7UjBq9n48NgESKfyz1pcehSN8ygPH8fC5sXL9N4S4bPa
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,87902778699
taker_volume30d,4907995966779
filler_volume30d,0
last_maker_volume30d_ts,1678972859
last_taker_volume30d_ts,1680454172
last_filler_volume30d_ts,1678730378
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,6075265468
userfees.total_fee_rebate,18129179
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
