,0
authority,7cmMhDrDWTWhz7YFwiP11tvr33qc5DujANSM4xJ2faxN
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,184563896
taker_volume30d,14708108771
filler_volume30d,0
last_maker_volume30d_ts,1676935187
last_taker_volume30d_ts,1676962291
last_filler_volume30d_ts,1676522282
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,16140092
userfees.total_fee_rebate,36912
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
