,0
authority,7hMwrCyX6okcJT31A1Nc4QZ25SBouFa7mKwZcrRcyjcc
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,223782574
taker_volume30d,976675911
filler_volume30d,0
last_maker_volume30d_ts,1678440634
last_taker_volume30d_ts,1681251931
last_filler_volume30d_ts,1676990739
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,29800865
userfees.total_fee_rebate,55129
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
