,0
authority,7iRP92FNU2cUgbLT1HE2N5rjBp2vpie8pWe4ykEuZdaT
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,3555521597
taker_volume30d,14618817055
filler_volume30d,0
last_maker_volume30d_ts,1672151754
last_taker_volume30d_ts,1673229083
last_filler_volume30d_ts,1669918189
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,3
is_referrer,False
userfees.total_fee_paid,26382626
userfees.total_fee_rebate,713272
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
