,0
authority,81MkqAKLEXg19zPeyANhni3aPPkbL64rr9sF8FxhqHZG
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,46770000
taker_volume30d,43951582
filler_volume30d,0
last_maker_volume30d_ts,1674630695
last_taker_volume30d_ts,1678797964
last_filler_volume30d_ts,1673227019
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1145306
userfees.total_fee_rebate,9354
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
