,0
authority,8NbYY3RkoHiHJSW42j6vwMa5rC5poMQ71QUrgZuQoyCU
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,8326632021
taker_volume30d,37994492395
filler_volume30d,0
last_maker_volume30d_ts,1677586031
last_taker_volume30d_ts,1677589220
last_filler_volume30d_ts,1677583875
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,38042011
userfees.total_fee_rebate,1665327
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
