,0
authority,8eNAGYDrtvkKRq6uesMZBu566e4SfAqT3oxAY8RzU4eF
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,1063782185
filler_volume30d,0
last_maker_volume30d_ts,1675307369
last_taker_volume30d_ts,1675423098
last_filler_volume30d_ts,1675307369
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1083721
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
