,0
authority,93AGRvU9jLpCXC9sLZbbzUWE5CAxqyrmDC5uErSVbBfP
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1382500
taker_volume30d,323600012
filler_volume30d,0
last_maker_volume30d_ts,1669873090
last_taker_volume30d_ts,1671096636
last_filler_volume30d_ts,1669162380
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,653045
userfees.total_fee_rebate,276
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
