,0
authority,93W2xXkuQvbKY6B7xXxfZ6hSTqLkBT1bALyKcCQMbcXe
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,14056900
taker_volume30d,172011389
filler_volume30d,0
last_maker_volume30d_ts,1673219354
last_taker_volume30d_ts,1673257216
last_filler_volume30d_ts,1673066799
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,173156
userfees.total_fee_rebate,2811
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
