,0
authority,9V6DZHnLJ8Af5KM2nnhc8LGVK8UxpibRSsV59CaoRysK
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1925045307
taker_volume30d,47422247478
filler_volume30d,0
last_maker_volume30d_ts,1672100120
last_taker_volume30d_ts,1673005613
last_filler_volume30d_ts,1670680457
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,54178850
userfees.total_fee_rebate,385106
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
