,0
authority,9apnHjEQ8enLaPLxP7z9VQTphWE4nWqZcyHJYocQMpSE
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1523674447
taker_volume30d,3284031159
filler_volume30d,0
last_maker_volume30d_ts,1674718150
last_taker_volume30d_ts,1674439174
last_filler_volume30d_ts,1671496557
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,6886614
userfees.total_fee_rebate,888634
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
