,0
authority,9hhYZ1KZU52j92pZHZMKKxUUHwmh1LNDG3X4EtNugko9
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,12033784399
taker_volume30d,137901665795
filler_volume30d,0
last_maker_volume30d_ts,1676572624
last_taker_volume30d_ts,1676572629
last_filler_volume30d_ts,1672356883
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,187901261
userfees.total_fee_rebate,2409578
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
