,0
authority,9j53Z6bejUaAxJCEC64BbxozLPuvsuAFsr6iqWKKDvaw
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,769904605
taker_volume30d,16223134167
filler_volume30d,0
last_maker_volume30d_ts,1679514715
last_taker_volume30d_ts,1680447776
last_filler_volume30d_ts,1677251806
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,23237409
userfees.total_fee_rebate,153984
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
