,0
authority,9qGz5Mh1XNUXqY1vEg5S1ZEMzPFvBLRbp1qaXwxSFMby
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,967572950
taker_volume30d,2274081917
filler_volume30d,0
last_maker_volume30d_ts,1672354867
last_taker_volume30d_ts,1672354894
last_filler_volume30d_ts,1668697003
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,8034704
userfees.total_fee_rebate,197746
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
