,0
authority,9xU7i4H3pY8LZkwspeLVNaQuL8PsAvyjpex1fnr28KxH
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,62834308907
taker_volume30d,247485837083
filler_volume30d,0
last_maker_volume30d_ts,1674602950
last_taker_volume30d_ts,1674648332
last_filler_volume30d_ts,1673018470
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,313443471
userfees.total_fee_rebate,16222264
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
