,0
authority,A6TBy4GsAyoU9uXhAZoWWEwjBBER5L1iDgjPU6PGdW2i
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,328914920226
taker_volume30d,32398254089
filler_volume30d,0
last_maker_volume30d_ts,1676870735
last_taker_volume30d_ts,1676905470
last_filler_volume30d_ts,1676423790
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,26786823
userfees.total_fee_rebate,67698947
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
