,0
authority,A9JFKEjf83dPDjXLT5Rzpm5YNHSGP2PzyuBPi3j8ttD8
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,4477317932
taker_volume30d,33077724121
filler_volume30d,0
last_maker_volume30d_ts,1671679324
last_taker_volume30d_ts,1671674169
last_filler_volume30d_ts,1671466214
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,34728681
userfees.total_fee_rebate,365797
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
