,0
authority,AAxbWq8P4PTTBMzhWeWNnWjsBAkY5zjJHiszGBwBEHZF
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,18199915
taker_volume30d,16061624337
filler_volume30d,0
last_maker_volume30d_ts,1679496391
last_taker_volume30d_ts,1680607440
last_filler_volume30d_ts,1678687852
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,19523131
userfees.total_fee_rebate,3640
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
