,0
authority,AAzcthhU4V7VtrZCh3aRk3fwDuQHe1aNxjZgnZurhmbi
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,626171543
taker_volume30d,13349961231
filler_volume30d,0
last_maker_volume30d_ts,1679272076
last_taker_volume30d_ts,1679516781
last_filler_volume30d_ts,1677019927
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,17617777
userfees.total_fee_rebate,177471
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
