,0
authority,AFzGxUtVFXi1PW5AUKHV3ooBgeG8w6Rtr7UrY3DZbcz1
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,2599955
taker_volume30d,12054762
filler_volume30d,0
last_maker_volume30d_ts,1669652532
last_taker_volume30d_ts,1669633825
last_filler_volume30d_ts,1669231515
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,13691
userfees.total_fee_rebate,520
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
