,0
authority,AL8JFS4gjaQx89f9j8wtaNJgV76K8bw1ugvNtgvhgAnb
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,9430348908
taker_volume30d,51531197653
filler_volume30d,0
last_maker_volume30d_ts,1675075933
last_taker_volume30d_ts,1675075983
last_filler_volume30d_ts,1667853560
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,93369303
userfees.total_fee_rebate,2601155
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
