,0
authority,AP6rXvejJrFSz3mCPJJ5TMRboWCpnArj3MgU56zuGaS4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,20880000
taker_volume30d,2528657352
filler_volume30d,0
last_maker_volume30d_ts,1674322282
last_taker_volume30d_ts,1676494194
last_filler_volume30d_ts,1671240917
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,5002789
userfees.total_fee_rebate,4176
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
