,0
authority,AUjVmgWDd6FrtwsVpoJ9Wpf55iauvbaNqbxjeRZ7ajY9
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,37746671
taker_volume30d,41760999470
filler_volume30d,0
last_maker_volume30d_ts,1669852978
last_taker_volume30d_ts,1670951040
last_filler_volume30d_ts,1667838671
if_staked_quote_asset_amount,0
number_of_sub_accounts,4
number_of_sub_accounts_created,6
is_referrer,False
userfees.total_fee_paid,117723801
userfees.total_fee_rebate,12916
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
