,0
authority,Aa9z16NDwZVskfV1ivGxHXZafn7oCDVKtBd65dqr57An
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,27980217
taker_volume30d,552767020
filler_volume30d,0
last_maker_volume30d_ts,1675020513
last_taker_volume30d_ts,1675109058
last_filler_volume30d_ts,1674691127
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,558827
userfees.total_fee_rebate,5682
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
