,0
authority,BEATjyYuro1xc1kbgBoxBnVEk3usoUk9qwmdRndXdYW5
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,136320680
taker_volume30d,6684069034
filler_volume30d,0
last_maker_volume30d_ts,1673998588
last_taker_volume30d_ts,1675069234
last_filler_volume30d_ts,1668780010
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,8051738
userfees.total_fee_rebate,27264
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
