,0
authority,BETAp6mTmtWyZP4y4BGRtixK3cGtSGbZjx5Pzrwy1RaM
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,1977624650
taker_volume30d,684636954
filler_volume30d,46930102
last_maker_volume30d_ts,1677780526
last_taker_volume30d_ts,1677680683
last_filler_volume30d_ts,1677509912
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,684638
userfees.total_fee_rebate,400863
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
