,0
authority,BWobuMufthuCARQZrFXkMZDT3XyH8kn9FdwCfTmZ6jwQ
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,8427967809
taker_volume30d,221122896229
filler_volume30d,0
last_maker_volume30d_ts,1680513505
last_taker_volume30d_ts,1680524512
last_filler_volume30d_ts,1673352112
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,318551420
userfees.total_fee_rebate,9398326
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
