,0
authority,BaSxeKwZTFvujeMf8Aa52yQb7JPRGLpEtNf7LmBfx6cq
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,227248998
taker_volume30d,1806434212
filler_volume30d,0
last_maker_volume30d_ts,1673780394
last_taker_volume30d_ts,1673834587
last_filler_volume30d_ts,1673779519
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,1817479
userfees.total_fee_rebate,45449
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
