,0
authority,BkNwwzGpBDEEpDjaXzUWnTx95SP3HbaTf8PeDJxEuTwY
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,39831480
taker_volume30d,113256862
filler_volume30d,0
last_maker_volume30d_ts,1674139152
last_taker_volume30d_ts,1674226053
last_filler_volume30d_ts,1674138137
if_staked_quote_asset_amount,0
number_of_sub_accounts,1
number_of_sub_accounts_created,1
is_referrer,False
userfees.total_fee_paid,116065
userfees.total_fee_rebate,7966
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
