,0
authority,C9pM5oPokgQb2KHwUt2MucCbfiGHRxXUwjd2W4Z9czJ2
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,9235141336
filler_volume30d,0
last_maker_volume30d_ts,1669164715
last_taker_volume30d_ts,1675431083
last_filler_volume30d_ts,1669164715
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,26254402
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
