,0
authority,CS22VrmEuNH7Jb1sJVLMubr4aBFiXTkxB1iv5SiZGiA4
referrer,11111111111111111111111111111111
next_epoch_ts,0
maker_volume30d,0
taker_volume30d,65489581
filler_volume30d,0
last_maker_volume30d_ts,1671622099
last_taker_volume30d_ts,1672815676
last_filler_volume30d_ts,1671622099
if_staked_quote_asset_amount,0
number_of_sub_accounts,2
number_of_sub_accounts_created,2
is_referrer,False
userfees.total_fee_paid,49344
userfees.total_fee_rebate,0
userfees.total_token_discount,0
userfees.total_referee_discount,0
userfees.total_referrer_reward,0
userfees.current_epoch_referrer_reward,0
